season,round,match_slug,home_nickname,away_nickname,match_id,referee
2023,4,dolphins-v-broncos,Dolphins,Broncos,,Adam Gee
2023,5,dragons-v-dolphins,Dragons,Dolphins,,Gerard Sutton
2023,6,cowboys-v-dolphins,Cowboys,Dolphins,,Adam Gee
2023,8,dolphins-v-titans,Dolphins,Titans,,Chris Butler
2023,9,eels-v-knights,Eels,Knights,,Chris Sutton
2023,9,raiders-v-dolphins,Raiders,Dolphins,,Peter Gough
2023,9,warriors-v-roosters,Warriors,Roosters,,Chris Butler
2023,10,sharks-v-dolphins,Sharks,Dolphins,,Grant Atkins
2023,11,bulldogs-v-warriors,Bulldogs,Warriors,,Ben Cummins
2023,12,dolphins-v-storm,Dolphins,Storm,,Grant Atkins
2023,13,dolphins-v-dragons,Dolphins,Dragons,,Adam Gee
2023,14,warriors-v-dolphins,Warriors,Dolphins,,Grant Atkins
2023,14,roosters-v-bulldogs,Roosters,Bulldogs,,Ashley Klein
2023,14,panthers-v-dragons,Panthers,Dragons,,Chris Sutton
2023,15,sea-eagles-v-dolphins,Sea Eagles,Dolphins,,Gerard Sutton
2023,17,dolphins-v-eels,Dolphins,Eels,,Peter Gough
2023,18,broncos-v-dolphins,Broncos,Dolphins,,Peter Gough
2023,19,titans-v-dolphins,Titans,Dolphins,,Grant Atkins
2023,20,dolphins-v-panthers,Dolphins,Panthers,,Todd Smith
2023,21,cowboys-v-eels,Cowboys,Eels,,Grant Atkins
2023,22,bulldogs-v-dolphins,Bulldogs,Dolphins,,Peter Gough
2023,23,dolphins-v-knights,Dolphins,Knights,,Grant Atkins
2023,23,rabbitohs-v-sharks,Rabbitohs,Sharks,,Todd Smith
2023,24,roosters-v-dolphins,Roosters,Dolphins,,Todd Smith
2023,25,wests-tigers-v-dolphins,Wests Tigers,Dolphins,,Ben Cummins
2023,25,dragons-v-storm,Dragons,Storm,,Peter Gough
2023,27,dolphins-v-warriors,Dolphins,Warriors,,Gerard Sutton
2018,3,storm-v-cowboys,Storm,Cowboys,,Matt Cecchin
2018,3,wests-tigers-v-broncos,Wests Tigers,Broncos,,Ashley Klein
2018,6,panthers-v-titans,Panthers,Titans,,Chris Sutton
2018,11,cowboys-v-rabbitohs,Cowboys,Rabbitohs,,Chris Sutton
2018,16,dragons-v-eels,Dragons,Eels,,Ben Cummins
2018,25,broncos-v-sea-eagles,Broncos,Sea Eagles,,Ben Cummins
